src,dst,w
cl,ar,108.0
kr,jp,162.0
ie,dk,19.0
es,cn,141.0
ir,fi,47.0
ca,ir,63.0
fr,at,95.0
gr,tr,16.0
cl,it,39.0
de,ng,20.0
de,id,55.0
nl,in,66.0
my,it,13.0
eg,in,14.0
pe,ar,70.0
fr,gr,66.0
ru,bd,5.0
tw,es,17.0
pt,co,26.0
ch,pk,10.0
ec,ru,11.0
it,kr,16.0
kr,my,21.0
cn,my,41.0
fr,za,55.0
mx,cl,90.0
za,cn,38.0
pe,it,44.0
co,ru,15.0
de,ec,28.0
br,ec,84.0
eg,es,53.0
nl,mx,36.0
gr,za,2.0
cl,jp,15.0
ar,gb,46.0
de,pe,29.0
in,ng,74.0
za,es,17.0
co,fi,11.0
mx,at,17.0
ar,pt,21.0
pk,pl,8.0
pk,id,3.0
pk,eg,4.0
jp,mx,22.0
pe,jp,15.0
ng,it,22.0
br,ng,5.0
pl,jp,24.0
tr,bd,6.0
au,ru,13.0
ng,jp,19.0
ie,be,20.0
at,pk,24.0
tr,fi,37.0
ir,br,16.0
in,eg,11.0
kr,it,18.0
mx,ch,30.0
br,pl,18.0
dk,kr,5.0
pt,kr,12.0
be,kr,15.0
dk,co,8.0
id,ie,9.0
br,eg,5.0
ch,tw,14.0
gr,cl,4.0
eg,mx,5.0
ir,ru,9.0
tw,mx,3.0
ch,ir,9.0
ca,pk,26.0
pk,se,22.0
pk,pt,8.0
ar,se,6.0
ec,fi,3.0
br,id,5.0
ie,co,2.0
mx,gr,2.0
cn,ar,3.0
tr,ru,17.0
ar,eg,2.0
in,pe,6.0
ie,kr,2.0
tr,br,2.0
co,bd,1.0
in,ec,1.0
fi,ar,2.0
pl,my,1.0
pk,ua,1.0
mx,za,3.0
cl,my,1.0
br,ua,1.0
pk,ng,2.0
bd,co,1.0
mx,tr,3.0
in,ua,2.0
ua,ir,1.0
za,mx,1.0
ar,pl,1.0
bd,bd,0.0
co,co,0.0
ec,us,160.0
nl,fr,234.0
tr,us,804.0
ru,dk,17.0
nl,nl,0.0
ie,fi,11.0
gb,in,470.0
it,br,279.0
co,us,693.0
in,ch,149.0
gb,cn,1144.0
fr,gb,1074.0
pt,br,880.0
ir,us,716.0
br,ch,122.0
dk,br,39.0
au,us,970.0
fr,pt,217.0
se,in,67.0
gb,es,1133.0
mx,gb,335.0
de,cl,100.0
se,cn,144.0
de,at,642.0
fr,ua,29.0
ca,ar,22.0
tr,be,62.0
tw,de,94.0
us,jp,948.0
es,de,789.0
de,tr,226.0
gb,ca,713.5
us,ar,110.0
ie,br,70.0
my,pk,145.0
tw,fr,28.0
ru,us,306.0
id,in,12.0
au,dk,75.0
gr,gb,700.0
pk,tr,88.0
nl,de,601.0
es,fr,794.0
se,es,143.0
za,nl,63.0
de,ch,1052.0
jp,nl,53.0
ch,ar,12.0
ch,it,262.0
us,it,667.0
cn,tw,118.0
fr,pl,117.0
dk,fi,41.0
jp,fr,152.0
kr,pk,78.0
eg,fr,52.0
in,cl,18.0
in,za,124.0
ch,jp,68.0
ca,jp,88.0
be,bd,23.0
eg,ie,29.0
es,nl,383.0
cn,pk,237.0
fr,se,206.0
ch,my,6.0
id,cn,60.0
at,it,122.0
ua,jp,8.0
au,kr,62.0
jp,au,140.0
jp,de,229.0
it,ru,52.0
ir,be,31.0
es,ie,158.0
tw,au,56.0
ua,it,30.0
ua,my,7.0
ca,my,21.0
za,au,109.0
be,br,65.0
mx,se,28.0
fr,ec,50.0
gb,mx,199.0
pl,tw,6.0
eg,nl,20.0
se,ca,77.0
my,ir,132.0
za,de,91.0
it,fi,77.0
br,at,58.0
eg,de,163.0
co,be,37.0
fr,pe,63.0
be,fi,37.0
es,au,131.0
de,za,81.0
gr,ng,3.0
ir,dk,62.0
au,co,43.0
nl,au,213.0
my,tw,29.0
au,be,69.0
de,gr,75.0
br,cl,164.0
ec,co,131.0
in,at,60.0
ar,cl,98.0
pk,ch,15.0
gr,pt,24.0
tr,co,3.0
mx,pl,8.0
ca,it,66.0
tr,dk,22.0
id,ca,10.0
in,tr,36.0
gr,se,93.0
br,za,32.0
nl,ie,48.0
ie,bd,4.0
co,dk,11.0
mx,pe,103.0
ar,ch,21.0
pt,ru,9.0
at,ar,6.0
tw,nl,21.0
kr,ir,12.0
ng,ir,3.0
ir,kr,37.0
fr,id,32.0
pt,fi,29.0
mx,ec,115.0
at,jp,29.0
us,my,108.0
fi,pk,6.0
ru,kr,19.0
tr,kr,19.0
kr,tw,32.0
za,fr,32.0
eg,au,41.0
cl,tw,2.0
fr,eg,44.0
pk,at,22.0
gr,ec,3.0
cl,ir,1.0
ru,be,26.0
be,ru,15.0
za,ie,14.0
jp,ie,19.0
mx,pt,28.0
ec,be,29.0
fi,ir,5.0
gr,pl,10.0
pk,za,6.0
ar,at,11.0
br,tr,9.0
dk,ru,5.0
id,es,9.0
ar,za,2.0
ng,tw,4.0
ng,pk,6.0
bd,fi,25.0
co,kr,7.0
cn,ir,16.0
gr,eg,4.0
ua,ar,1.0
ec,kr,12.0
in,gr,6.0
fr,ng,7.0
br,gr,1.0
ru,co,6.0
it,bd,17.0
se,mx,13.0
pl,pk,3.0
tw,ie,5.0
ie,ru,2.0
gr,ua,2.0
bd,ru,2.0
ec,dk,5.0
at,my,2.0
pl,ir,5.0
id,mx,1.0
pe,tw,2.0
bd,br,2.0
pt,bd,2.0
fi,tw,4.0
ar,gr,1.0
mx,eg,1.0
mx,ua,1.0
pk,gr,1.0
ca,ca,0.0
pt,pt,0.0
cn,fr,493.0
gb,jp,360.0
tr,tr,0.0
us,cn,3537.0
tw,tw,0.0
us,ca,1850.0
ie,gb,687.0
be,se,83.0
in,us,4551.0
it,ng,18.0
be,pt,105.0
br,us,2061.0
es,tw,16.0
id,jp,462.0
se,it,100.0
cn,de,986.0
pt,gb,667.0
cl,nl,40.0
bd,pt,10.0
id,my,200.0
cn,au,1175.0
in,be,115.0
de,us,1838.0
fr,br,544.0
in,kr,495.0
it,gb,1565.0
dk,gb,309.0
br,dk,97.0
be,pe,11.0
au,za,36.0
gb,my,437.0
au,ch,104.0
dk,se,225.0
de,kr,109.0
cl,au,86.0
be,gb,384.0
mx,br,124.0
ng,de,45.0
it,pt,250.0
us,es,966.0
br,be,103.0
pl,de,228.0
ca,es,104.0
gb,it,758.0
kr,ie,13.0
au,at,50.0
us,in,1048.0
br,co,412.0
bd,gb,202.0
ir,at,35.0
de,dk,298.0
pk,kr,256.0
kr,de,149.0
ar,us,214.0
pl,fr,110.0
pt,pe,10.0
de,be,275.0
ec,cl,111.0
cl,de,93.0
us,mx,505.0
gb,ar,37.0
fi,de,104.0
ca,cn,413.0
pk,us,362.0
co,cl,245.0
my,au,276.0
at,ca,39.0
ca,in,122.0
fi,au,43.0
pe,nl,27.0
id,it,14.0
cn,nl,391.0
pl,nl,52.0
kr,fr,50.0
pt,pl,53.0
my,nl,26.0
fr,ru,95.0
ar,co,254.0
ch,ca,137.0
ca,mx,90.0
jp,tw,85.0
au,cl,50.0
mx,fi,10.0
es,pk,5.0
it,ec,41.0
it,se,218.0
pk,be,27.0
au,gr,7.0
cn,ie,101.0
ru,at,30.0
fr,fi,80.0
ch,cn,112.0
ie,pt,29.0
ec,ch,13.0
fi,fr,60.0
it,pl,111.0
fi,nl,54.0
pt,se,90.0
fi,ie,11.0
ua,ca,26.0
pe,fr,58.0
dk,pt,38.0
ru,tr,25.0
it,pe,42.0
gr,fi,10.0
kr,nl,23.0
be,pl,49.0
cl,fr,87.0
kr,au,127.0
nl,tw,13.0
pe,de,49.0
tr,ch,52.0
ng,nl,22.0
at,in,17.0
be,eg,16.0
ch,es,178.0
pt,eg,11.0
ch,in,52.0
ng,fr,22.0
ir,ch,56.0
de,co,108.0
ir,tr,136.0
be,id,10.0
at,es,92.0
se,my,8.0
co,ch,41.0
bd,se,39.0
in,dk,72.0
ie,se,21.0
nl,ir,28.0
ru,ch,63.0
ng,au,35.0
eg,pk,2.0
my,de,37.0
ua,es,23.0
jp,ir,25.0
za,tw,4.0
at,mx,12.0
pl,au,24.0
co,tr,9.0
tr,at,40.0
nl,pk,24.0
se,jp,55.0
ar,be,16.0
at,cn,32.0
ir,cl,2.0
tr,gr,24.0
br,kr,14.0
jp,pk,19.0
pl,ie,24.0
ua,cn,35.0
my,ie,31.0
ng,ie,19.0
ie,eg,10.0
ie,pl,20.0
dk,pl,23.0
gr,br,6.0
pe,au,24.0
be,ec,28.0
pt,id,3.0
my,fr,21.0
ch,mx,11.0
pt,ec,21.0
ec,tr,1.0
it,ua,17.0
ar,kr,4.0
bd,id,2.0
dk,eg,5.0
au,tr,20.0
it,eg,29.0
dk,ec,4.0
ir,za,15.0
mx,ru,6.0
be,ua,5.0
ie,ec,3.0
it,id,12.0
es,ir,19.0
ec,at,9.0
pt,ng,3.0
tr,za,9.0
gr,ru,7.0
co,at,14.0
ie,ng,3.0
dk,ua,2.0
ar,dk,11.0
gr,bd,2.0
ru,za,7.0
in,co,9.0
co,za,2.0
pk,dk,18.0
tw,ir,2.0
se,ar,6.0
pe,ie,1.0
ua,in,6.0
tw,pk,1.0
ru,gr,1.0
bd,ua,1.0
ie,ua,1.0
eg,tw,9.0
bd,ng,1.0
fr,bd,7.0
dk,pe,1.0
co,gr,2.0
ec,za,1.0
be,ng,2.0
dk,ng,2.0
bd,pl,3.0
pt,ua,3.0
ua,mx,6.0
tr,cl,3.0
za,pk,3.0
ie,pe,2.0
ec,gr,1.0
ru,cl,2.0
dk,id,1.0
eg,ir,1.0
cl,ie,2.0
ir,gr,1.0
mx,bd,1.0
ie,id,1.0
cl,cl,0.0
au,au,0.0
es,co,1147.0
co,de,173.0
pk,pk,0.0
ua,ua,0.0
co,fr,177.0
bd,cn,163.0
us,eg,227.0
ca,eg,72.0
ca,gb,741.0
ir,de,202.0
ca,ng,10.0
it,ca,156.0
tr,fr,110.0
it,es,819.0
tr,de,340.0
tr,nl,124.0
ru,de,280.0
au,de,302.0
us,se,429.0
nl,dk,123.0
us,gb,3447.5
at,se,74.0
ca,pe,23.0
us,pe,257.0
it,cn,122.0
jp,us,1127.0
tw,us,643.0
es,us,1304.0
es,be,298.0
nl,us,648.0
us,ec,163.0
ng,za,453.0
nl,be,343.0
ua,pl,186.0
ch,gb,583.0
ng,tr,22.0
au,fr,144.0
ec,de,30.0
gb,fi,193.0
us,pt,281.0
it,mx,62.0
fr,my,25.0
in,tw,212.0
gb,ru,106.0
cn,ch,188.0
ru,fr,121.0
fr,ar,60.0
be,es,221.0
fr,it,551.0
gb,br,547.0
nl,co,42.0
fi,ch,53.0
fr,jp,193.0
us,pl,182.0
ec,nl,33.0
be,cn,95.0
be,ca,66.0
eg,us,409.0
se,fi,117.0
jp,be,39.0
pt,es,667.0
ir,au,218.0
jp,kr,171.0
at,gb,224.0
dk,cn,126.0
tw,be,19.0
ca,pt,33.0
us,ng,95.0
au,ie,58.0
gb,bd,156.0
pt,mx,20.0
tr,au,51.0
my,tr,37.0
tr,ie,27.0
ch,se,122.0
ie,es,108.0
ua,se,19.0
ie,in,40.0
ec,fr,31.0
pe,cl,102.0
ie,ca,62.0
us,ua,49.0
us,id,106.0
cn,tr,18.0
ca,se,82.0
cn,at,56.0
pl,ch,87.0
dk,es,86.0
cn,cl,9.0
at,pt,37.0
gr,it,81.0
za,us,234.0
se,br,46.0
au,nl,129.0
kr,tr,15.0
ua,gb,46.0
dk,ca,45.0
ir,ie,16.0
be,in,49.0
se,bd,20.0
pt,cn,43.0
co,au,68.0
ir,nl,67.0
at,ua,8.0
ir,fr,68.0
pl,gr,14.0
pt,ca,39.0
it,in,77.0
cn,za,19.0
ie,cn,50.0
es,dk,190.0
nl,kr,17.0
de,pk,83.0
ca,pl,29.0
de,tw,56.0
ch,ua,8.0
ch,ng,5.0
ca,id,11.0
be,mx,13.0
kr,at,19.0
pl,at,32.0
kr,ch,39.0
bd,ca,126.0
ch,pt,69.0
pe,ch,21.0
co,nl,69.0
za,be,42.0
ch,pl,46.0
de,ir,39.0
mx,it,61.0
es,kr,17.0
ua,ec,5.0
pk,tw,7.0
mx,ar,74.0
ru,nl,55.0
ru,au,37.0
ch,pe,12.0
tw,kr,19.0
at,pl,40.0
eg,kr,35.0
at,eg,12.0
ec,ie,5.0
fi,at,33.0
in,ir,42.0
pt,in,45.0
pl,tr,36.0
ca,ec,18.0
my,za,14.0
ng,ch,18.0
ch,eg,13.0
dk,mx,9.0
at,ec,8.0
eg,dk,8.0
fi,gr,8.0
bd,es,16.0
cl,ch,17.0
kr,za,10.0
id,br,1.0
kr,cl,7.0
za,dk,15.0
ec,au,19.0
ca,ua,8.0
eg,co,2.0
my,cl,1.0
ch,ec,7.0
my,ch,6.0
gr,jp,9.0
pl,cl,3.0
id,ru,13.0
bd,in,53.0
ua,ng,6.0
ua,id,1.0
mx,jp,37.0
za,kr,12.0
co,ie,6.0
eg,be,24.0
se,ru,14.0
fi,tr,15.0
ua,pt,18.0
br,pk,17.0
mx,my,3.0
cl,za,3.0
ua,pe,1.0
cl,gr,3.0
ru,ie,15.0
