src,dst,w
de,cl,59.0
au,dk,73.0
in,za,95.0
jp,fr,119.0
eg,fr,30.0
dk,fi,50.0
au,kr,35.0
mx,pt,12.0
es,au,80.0
in,tr,25.0
de,gr,58.0
at,it,152.0
za,ie,29.0
tr,dk,44.0
ca,it,76.0
id,cn,48.0
fi,pk,4.0
tw,au,66.0
fr,eg,15.0
pt,fi,36.0
dk,br,16.0
in,at,71.0
ec,co,78.0
jp,nl,59.0
it,ru,16.0
tw,fr,29.0
nl,ie,67.0
za,fr,40.0
pk,tr,57.0
pk,za,11.0
tw,de,70.0
fr,pe,21.0
mx,gb,120.0
gr,pl,5.0
br,ch,114.0
ch,jp,80.0
mx,se,24.0
my,pk,96.0
ng,tw,3.0
br,at,55.0
ir,kr,29.0
ie,fi,16.0
ng,ir,4.0
cn,tw,58.0
fr,ec,14.0
ec,be,21.0
gb,mx,87.0
ar,za,2.5
tw,nl,20.0
ua,jp,12.0
it,bd,13.0
in,gr,10.0
se,ca,54.0
in,cl,41.0
tr,kr,18.0
ie,br,28.0
ch,my,4.0
pk,at,23.0
pk,gr,3.0
my,ir,8.0
au,be,44.0
be,fi,38.0
fr,id,16.0
kr,tw,19.0
ca,ar,7.0
fi,tw,6.0
fr,ua,9.0
mx,ng,2.0
ru,dk,14.0
ua,it,25.0
ru,kr,18.0
id,ca,11.0
pl,ir,2.0
at,jp,28.0
mx,pl,12.0
pk,ch,18.0
id,in,14.0
co,be,29.0
be,bd,7.0
gr,ec,1.0
be,ru,6.0
tw,ie,7.0
ir,co,1.0
ch,ar,4.0
eg,ie,15.0
pl,tw,10.0
bd,br,4.0
ar,ch,18.0
br,tr,6.0
eg,nl,8.0
gr,eg,5.0
mx,id,2.0
co,dk,15.0
cn,ir,11.0
ca,my,12.0
ec,kr,3.0
ru,be,27.0
at,ar,2.0
id,mx,2.0
fr,ng,7.0
co,kr,6.0
mx,eg,1.0
ie,bd,5.0
id,es,11.0
ec,dk,3.0
se,mx,5.0
pt,bd,2.0
pl,pk,4.0
ua,my,1.0
cl,tw,2.0
ar,at,12.0
pk,cl,2.0
kr,ir,2.0
br,gr,3.0
ie,ru,2.0
dk,ru,1.0
dk,bd,1.0
at,my,2.0
cl,ir,1.0
ru,co,4.0
ng,pk,3.0
pe,tw,1.0
gr,ng,1.0
gr,ua,1.0
pe,ir,1.0
ca,ca,0.0
in,us,5136.5
tr,tr,0.0
pl,fr,105.0
co,cl,125.0
bd,pt,13.0
us,cn,2061.0
pt,pt,0.0
it,pt,174.0
gb,my,203.0
gb,it,777.0
tw,tw,0.0
bd,gb,246.0
cn,ie,112.0
br,us,2016.0
pk,us,633.0
us,es,833.0
us,mx,309.0
kr,de,150.0
my,au,155.0
dk,se,161.0
fr,br,235.0
pk,dk,29.0
gb,jp,297.0
de,us,1662.0
cn,nl,414.0
pt,se,67.0
se,it,92.0
be,gb,266.0
ca,cn,335.0
dk,gb,189.0
fi,de,131.0
cn,au,770.0
us,in,942.0
ng,au,60.0
cn,de,764.0
in,kr,424.0
ch,es,237.0
br,co,189.0
de,co,41.0
de,dk,358.0
us,ca,1500.0
it,gb,756.5
pl,de,199.0
ie,gb,491.0
pt,pl,32.0
ca,mx,38.0
au,ch,96.0
be,se,80.0
pl,au,24.0
id,jp,258.0
it,pl,99.0
in,dk,126.0
jp,tw,90.0
ru,tr,28.0
it,eg,20.0
cl,fr,70.0
at,es,102.0
ca,es,129.0
pt,gb,212.0
ng,ie,20.0
in,be,142.0
pl,nl,46.0
ch,ca,152.0
za,tw,5.0
bd,se,27.0
cl,de,99.0
ch,in,77.0
ar,us,227.0
kr,au,104.0
pk,be,35.0
id,my,154.0
it,se,182.0
fi,fr,45.0
cn,fr,244.0
fi,nl,57.0
fr,ru,15.0
au,cl,24.0
ir,tr,91.0
pt,ec,8.0
ca,in,125.0
ar,co,138.0
pe,de,37.0
fr,fi,101.0
cl,au,33.0
my,de,34.0
au,za,21.0
be,pl,46.0
ng,nl,27.0
pk,kr,181.0
ir,ch,52.0
br,dk,73.0
ng,de,62.0
fi,au,34.0
cl,nl,39.0
be,eg,4.0
kr,fr,81.0
dk,pt,27.0
my,fr,15.0
ch,cn,149.0
ec,cl,58.0
mx,br,68.0
at,ca,33.0
mx,ru,6.0
br,be,95.0
tr,ch,102.0
de,be,301.0
ir,at,49.0
ua,es,40.0
co,ch,40.0
ua,ca,43.0
ru,at,25.0
pe,fr,42.0
be,ng,4.0
ie,pt,28.0
ie,ua,2.0
fi,ie,16.0
be,ec,6.0
ar,dk,6.0
be,pt,101.0
se,jp,45.0
it,ec,17.0
nl,tw,14.0
my,ie,21.0
ua,in,2.0
pt,ng,5.0
ie,pl,11.0
it,ng,6.0
kr,ie,28.0
tr,at,54.0
cl,ie,6.0
nl,ir,5.0
fr,bd,7.0
es,ir,10.0
at,in,20.0
ec,ch,7.0
pe,nl,21.0
ru,ch,39.0
pe,au,16.0
ie,pe,2.0
za,pk,5.0
my,nl,12.0
tr,za,1.0
tr,gr,11.0
mx,fi,12.0
tw,pk,3.0
ie,se,27.0
ua,cn,14.0
ng,fr,24.0
dk,pl,20.0
ar,be,11.0
de,kr,83.0
gb,ar,17.0
be,ua,3.0
co,at,15.0
pt,eg,4.0
ru,cl,7.0
at,cn,31.0
au,at,26.0
eg,tw,5.0
it,ua,8.0
ru,za,9.0
co,gr,1.0
it,id,12.0
jp,pk,14.0
id,it,15.0
ru,gr,3.0
se,ar,2.0
jp,ir,5.0
pt,ua,4.0
dk,pe,2.0
br,kr,11.0
ch,mx,18.0
kr,nl,27.0
bd,id,9.0
pt,pe,10.0
ie,id,3.0
it,pe,15.0
pt,id,2.0
ar,kr,3.0
ir,za,9.0
gr,fi,13.0
dk,ec,2.0
bd,ng,4.0
au,tr,14.0
be,id,11.0
be,pe,3.0
at,mx,9.0
bd,pl,3.0
tr,cl,1.0
es,pk,8.0
ir,gr,2.0
co,za,1.0
in,co,5.0
pl,ie,22.0
gr,br,2.0
ir,cl,4.0
gr,ru,2.0
au,gr,2.0
ec,at,4.0
nl,pk,7.0
tw,ir,1.0
es,tw,9.0
dk,id,3.0
dk,ng,1.0
za,ir,1.0
ie,ng,1.0
ie,eg,1.0
dk,eg,1.0
eg,ir,2.0
se,my,3.0
pe,ie,1.0
pk,pk,0.0
tr,de,467.0
se,fi,138.0
cl,cl,0.0
nl,be,356.0
it,cn,110.0
au,au,0.0
be,es,236.0
ru,fr,72.0
ie,ca,48.0
ua,ua,0.0
ca,se,69.0
it,es,827.0
ch,se,114.0
es,be,230.0
es,us,953.0
nl,dk,160.0
au,ie,49.0
gb,bd,117.0
jp,us,1050.0
us,gb,2505.0
at,gb,172.0
es,dk,144.0
at,se,59.0
us,pt,183.0
pt,es,636.0
ir,au,270.0
cn,ch,257.0
mx,ar,57.0
it,ca,128.0
ca,gb,583.0
es,co,551.0
us,pe,179.0
cn,at,66.0
fr,jp,160.0
co,au,47.0
in,tw,218.0
pe,cl,81.0
tw,us,556.0
tr,nl,195.0
us,se,291.0
us,id,73.0
ru,de,252.0
pk,tw,50.0
us,eg,90.0
nl,us,519.0
it,in,75.0
ua,gb,89.0
pt,cn,43.0
gb,br,219.0
ch,gb,530.0
bd,ca,182.0
fi,ch,45.0
au,de,212.0
co,nl,64.0
eg,us,387.0
fr,it,569.0
ua,pl,146.0
ir,de,234.0
za,be,23.0
pt,ca,23.0
us,pl,128.0
co,de,116.0
us,ng,97.0
tr,fr,72.0
ec,fr,24.0
gb,fi,209.0
be,ca,87.0
gr,it,79.0
au,fr,105.0
bd,cn,138.0
ca,eg,17.0
be,cn,130.0
kr,ch,50.0
au,nl,110.0
za,us,287.0
pl,tr,43.0
dk,cn,121.0
ir,nl,105.0
pk,ir,8.0
eg,dk,8.0
dk,in,21.0
ru,au,18.0
tw,kr,28.0
ie,es,140.0
fi,at,33.0
tw,be,26.0
cn,gr,9.0
at,pl,33.0
in,ir,6.0
bd,es,21.0
id,fi,9.0
jp,be,42.0
cn,tr,21.0
ng,ch,18.0
co,fr,89.0
pt,in,18.0
dk,mx,5.0
jp,kr,100.0
za,dk,9.0
ru,nl,51.0
pl,ch,62.0
ch,pl,49.0
mx,it,56.0
us,ec,63.0
ir,ie,42.0
ca,pt,19.0
ng,za,240.0
se,bd,13.0
tr,ie,47.0
ng,tr,15.0
bd,in,77.0
dk,es,108.0
be,in,36.0
ie,in,25.0
cl,ch,17.0
pl,at,51.0
ch,pe,13.0
gr,my,3.0
tr,au,32.0
us,ua,55.0
de,ir,17.0
ch,pt,58.0
ca,pe,12.0
ir,fr,58.0
cn,za,20.0
dk,ca,29.0
ie,cn,53.0
